Price,price,returns,position,cash,equity
Ticker,AAPL,,,,
Date,,,,,
2020-06-05,80.31581115722656,0.028481094279278585,0.0,10000,[8637.29880079]
2020-06-08,80.79068756103516,0.00591261417853306,0.0,10000,[8637.29880079]
2020-06-09,83.3418960571289,0.03157800203354366,0.0,10000,[8637.29880079]
2020-06-10,85.48607635498047,0.025727520002446047,0.0,10000,[8637.29880079]
2020-06-11,81.38184356689453,-0.04801054116746606,0.0,10000,[8637.29880079]
2020-06-12,82.0844497680664,0.008633451521583568,0.0,10000,[8637.29880079]
2020-06-15,83.09960174560547,0.012367165527787938,0.0,10000,[8637.29880079]
2020-06-16,85.30194854736328,0.02650249526465731,0.0,10000,[8637.29880079]
2020-06-17,85.1832275390625,-0.0013917736971138517,0.0,10000,[8637.29880079]
2020-06-18,85.21714782714844,0.0003982038373737673,0.0,10000,[8637.29880079]
2020-06-19,84.73015594482422,-0.005714716987618718,0.0,10000,[8637.29880079]
2020-06-22,86.94702911376953,0.026163921737485385,0.0,10000,[8637.29880079]
2020-06-23,88.80289459228516,0.02134478311026866,0.0,10000,[8637.29880079]
2020-06-24,87.23531341552734,-0.017652365769775247,0.0,10000,[8637.29880079]
2020-06-25,88.3934326171875,0.013275807196836631,0.0,10000,[8637.29880079]
2020-06-26,85.67748260498047,-0.030725699090895287,0.0,10000,[8637.29880079]
2020-06-29,87.65205383300781,0.023046559819353885,0.0,10000,[8637.29880079]
2020-06-30,88.38372039794922,0.008347397841188764,0.0,10000,[8637.29880079]
2020-07-01,88.21658325195312,-0.0018910399476685935,0.0,10000,[8637.29880079]
2020-07-02,88.21658325195312,0.0,0.0,10000,[8637.29880079]
2020-07-06,90.57637023925781,0.02674992501766882,0.0,10000,[8637.29880079]
2020-07-07,90.29531860351562,-0.0031029244713581816,0.0,10000,[8637.29880079]
2020-07-08,92.39830780029297,0.023290124330935802,0.0,10000,[8637.29880079]
2020-07-09,92.79566192626953,0.004300448086510311,0.0,10000,[8637.29880079]
2020-07-10,92.9579849243164,0.001749252008955482,0.0,10000,[8637.29880079]
2020-07-13,92.52915954589844,-0.004613109662038206,0.0,10000,[8637.29880079]
2020-07-14,94.06034851074219,0.01654817759459082,0.0,10000,[8637.29880079]
2020-07-15,94.70723724365234,0.006877379715813703,0.0,10000,[8637.29880079]
2020-07-16,93.5418701171875,-0.012304942688452836,0.0,10000,[8637.29880079]
2020-07-17,93.3529052734375,-0.002020109748856469,0.0,10000,[8637.29880079]
2020-07-20,95.3202133178711,0.02107388129669019,0.0,10000,[8637.29880079]
2020-07-21,94.00465393066406,-0.013801473385502638,0.0,10000,[8637.29880079]
2020-07-22,94.26870727539062,0.0028089390650949397,0.0,10000,[8637.29880079]
2020-07-23,89.97793579101562,-0.045516392537771955,0.0,10000,[8637.29880079]
2020-07-24,89.75505065917969,-0.002477108747566903,0.0,10000,[8615.90327237]
2020-07-27,91.88226318359375,0.023700198582601972,0.0,10000,[8820.10189089]
2020-07-28,90.37287902832031,-0.016427372410902308,0.0,10000,[8820.10189089]
2020-07-29,92.10515594482422,0.019168105908865307,0.0,10000,[8989.16653807]
2020-07-30,93.21964263916016,0.012100155337705143,0.0,10000,[8989.16653807]
2020-07-31,102.97868347167969,0.10468867457790387,0.0,10000,[8989.16653807]
2020-08-03,105.57350158691406,0.02519762369993761,0.0,10000,[8989.16653807]
2020-08-04,106.27853393554688,0.006678118448618431,0.0,10000,[8989.16653807]
2020-08-05,106.66375732421875,0.0036246584743584442,0.0,10000,[8989.16653807]
2020-08-06,110.38516998291016,0.03488919528101442,0.0,10000,[8989.16653807]
2020-08-07,107.87548828125,-0.02273567818982125,0.0,10000,[8989.16653807]
2020-08-10,109.44342803955078,0.014534717601582425,0.0,10000,[8989.16653807]
